行政区划代码,名称,级别
130000,河北省,省
130100,石家庄市,地级市
130102,长安区,县级
130104,桥西区,县级
130105,新华区,县级
130107,井陉矿区,县级
130108,裕华区,县级
130109,藁城区,县级
130110,鹿泉区,县级
130111,栾城区,县级
130121,井陉县,县级
130123,正定县,县级
130125,行唐县,县级
130126,灵寿县,县级
130127,高邑县,县级
130128,深泽县,县级
130129,赞皇县,县级
130130,无极县,县级
130131,平山县,县级
130132,元氏县,县级
130133,赵县,县级
130181,辛集市,县级
130183,晋州市,县级
130184,新乐市,县级
130200,唐山市,地级市
130202,路南区,县级
130203,路北区,县级
130204,古冶区,县级
130205,开平区,县级
130207,丰南区,县级
130208,丰润区,县级
130209,曹妃甸区,县级
130224,滦南县,县级
130225,乐亭县,县级
130227,迁西县,县级
130229,玉田县,县级
130281,遵化市,县级
130283,迁安市,县级
130284,滦州市,县级
130300,秦皇岛市,地级市
130302,海港区,县级
130303,山海关区,县级
130304,北戴河区,县级
130306,抚宁区,县级
130321,青龙满族自治县,县级
130322,昌黎县,县级
130324,卢龙县,县级
130400,邯郸市,地级市
130402,邯山区,县级
130403,丛台区,县级
130404,复兴区,县级
130406,峰峰矿区,县级
130407,肥乡区,县级
130408,永年区,县级
130423,临漳县,县级
130424,成安县,县级
130425,大名县,县级
130426,涉县,县级
130427,磁县,县级
130430,邱县,县级
130431,鸡泽县,县级
130432,广平县,县级
130433,馆陶县,县级
130434,魏县,县级
130435,曲周县,县级
130481,武安市,县级
130500,邢台市,地级市
130502,襄都区,县级
130503,信都区,县级
130505,任泽区,县级
130506,南和区,县级
130522,临城县,县级
130523,内丘县,县级
130524,柏乡县,县级
130525,隆尧县,县级
130528,宁晋县,县级
130529,巨鹿县,县级
130530,新河县,县级
130531,广宗县,县级
130532,平乡县,县级
130533,威县,县级
130534,清河县,县级
130535,临西县,县级
130581,南宫市,县级
130582,沙河市,县级
130600,保定市,地级市
130602,竞秀区,县级
130606,莲池区,县级
130607,满城区,县级
130608,清苑区,县级
130609,徐水区,县级
130623,涞水县,县级
130624,阜平县,县级
130626,定兴县,县级
130627,唐县,县级
130628,高阳县,县级
130629,容城县,县级
130630,涞源县,县级
130631,望都县,县级
130632,安新县,县级
130633,易县,县级
130634,曲阳县,县级
130635,蠡县,县级
130636,顺平县,县级
130637,博野县,县级
130638,雄县,县级
130681,涿州市,县级
130682,定州市,县级
130683,安国市,县级
130684,高碑店市,县级
130700,张家口市,地级市
130702,桥东区,县级
130703,桥西区,县级
130705,宣化区,县级
130706,下花园区,县级
130708,万全区,县级
130709,崇礼区,县级
130722,张北县,县级
130723,康保县,县级
130724,沽源县,县级
130725,尚义县,县级
130726,蔚县,县级
130727,阳原县,县级
130728,怀安县,县级
130730,怀来县,县级
130731,涿鹿县,县级
130732,赤城县,县级
130800,承德市,地级市
130802,双桥区,县级
130803,双滦区,县级
130804,鹰手营子矿区,县级
130821,承德县,县级
130822,兴隆县,县级
130824,滦平县,县级
130825,隆化县,县级
130826,丰宁满族自治县,县级
130827,宽城满族自治县,县级
130828,围场满族蒙古族自治县,县级
130881,平泉市,县级
130900,沧州市,地级市
130902,新华区,县级
130903,运河区,县级
130921,沧县,县级
130922,青县,县级
130923,东光县,县级
130924,海兴县,县级
130925,盐山县,县级
130926,肃宁县,县级
130927,南皮县,县级
130928,吴桥县,县级
130929,献县,县级
130930,孟村回族自治县,县级
130981,泊头市,县级
130982,任丘市,县级
130983,黄骅市,县级
130984,河间市,县级
131000,廊坊市,地级市
131002,安次区,县级
131003,广阳区,县级
131022,固安县,县级
131023,永清县,县级
131024,香河县,县级
131025,大城县,县级
131026,文安县,县级
131028,大厂回族自治县,县级
131081,霸州市,县级
131082,三河市,县级
131100,衡水市,地级市
131102,桃城区,县级
131103,冀州区,县级
131121,枣强县,县级
131122,武邑县,县级
131123,武强县,县级
131124,饶阳县,县级
131125,安平县,县级
131126,故城县,县级
131127,景县,县级
131128,阜城县,县级
131182,深州市,县级
